"","SeqID","Rep","System","Collection","Organ"
"WPC2FHBD22B06C","WPC2FHBD22B06C","Two","Hatch_Brood","D22","Cecum"
"WPC2FHBD22B07C","WPC2FHBD22B07C","Two","Hatch_Brood","D22","Cecum"
"WPC2FHBD22B08C","WPC2FHBD22B08C","Two","Hatch_Brood","D22","Cecum"
"WPC2FHBD22B09C","WPC2FHBD22B09C","Two","Hatch_Brood","D22","Cecum"
"WPC2FHBD22B10C","WPC2FHBD22B10C","Two","Hatch_Brood","D22","Cecum"
"WPC2FHBD29B01C","WPC2FHBD29B01C","Two","Hatch_Brood","D29","Cecum"
"WPC2FHBD29B02C","WPC2FHBD29B02C","Two","Hatch_Brood","D29","Cecum"
"WPC2FHBD29B03C","WPC2FHBD29B03C","Two","Hatch_Brood","D29","Cecum"
"WPC2FHBD29B04C","WPC2FHBD29B04C","Two","Hatch_Brood","D29","Cecum"
"WPC2FHBD29B05C","WPC2FHBD29B05C","Two","Hatch_Brood","D29","Cecum"
"WPC2FHBD29B06C","WPC2FHBD29B06C","Two","Hatch_Brood","D29","Cecum"
"WPC2FHBD29B07C","WPC2FHBD29B07C","Two","Hatch_Brood","D29","Cecum"
"WPC2FHBD29B08C","WPC2FHBD29B08C","Two","Hatch_Brood","D29","Cecum"
"WPC2FHBD29B09C","WPC2FHBD29B09C","Two","Hatch_Brood","D29","Cecum"
"WPC2FHBD29B10C","WPC2FHBD29B10C","Two","Hatch_Brood","D29","Cecum"
